,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
10,1890000.00,"546 W 148th St, New York, NY 10031",-73.947998,40.827701,10031,0,1,3200,No Data,8,4,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/546-W-148th-St-New-York-NY-10031/2131786970_zpid/,"For sale: $1,890,000. 546 West 148th Street retains a significant amount of original detail and with your vision will be restored to a beautiful single family or multifamily investment property. Delivered vacant and with Certificate of Non-Harassment, this 17 ft wide townhouse offers 4,995 buildable square footage. There are approved plans ready to be renewed and available upon your request. West 148th Street between Amsterdam and Broadway is a tranquil, tree-lined street and close to many of the dining and entertainment options the vibrant neighborhood of Hamilton Heights has to offer. Transportation includes the Express A/D trains at 145th Street as well as the B/C and 1 trains very close by."
11,275000.00,"515 W 151st St APT 4W, New York, NY 10031",-73.945448,40.829531,10031,0,1,9130,1900,1,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/515-W-151st-St-APT-4W-New-York-NY-10031/244699028_zpid/,"For sale: $275,000. Sunny, spacious and move in ready 650sq ft 1 bedroom 1 bath apartment on the 4th floor of a well kept walk up building, features southern exposures, brick wall, modern kitchen with pass thru window to the living room, spacious windowed bathroom, 11' ceilings, hard wood floors, windows in all rooms and loads of closet space and laundry in the basement, centrally located in the Hamilton Heights neighborhood, an extension of the Sugar Hill Historic District and is surrounded by restaurants, quaint coffee shops, shopping, a few blocks to Riverbank State Park, west side highway and Hudson River, In the area you will find historical sites, Dance Theater of Harlem, The Harlem School of Arts and City College. Easy access to trains and buses along Broadway and Amsterdam Ave. Income restrictions apply! NO PETS! Cash only at this time, working on building financing approval."
12,499000.00,"3405 Broadway APT 2B, New York, NY 10031",-73.953901,40.822393,10031,0,1,--,1910,3,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/3405-Broadway-APT-2B-New-York-NY-10031/249647637_zpid/,"For sale: $499,000. "
13,2550000.00,"410 W 146th St, New York, NY 10031",-73.945159,40.824833,10031,0,1,4500,1901,6,6,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/410-W-146th-St-New-York-NY-10031/31552947_zpid/,"For sale: $2,550,000. Designed by architect Neville and Bragge in 1893 this Romanesque Revival style 4 Story
limestone awaits your personal touch.This property needs a complete gut renovation from
top to bottom so bring your architect and your imagination.Create your perfect
masterpiece on this amazing blank canvas that stretches over 4500 ft. inside a 20x55 foot
wide townhouse. With an unobstructed south facing view and oversize window frames this
property receives a tremendous amount of natural light. Live in your dream home in one
of the hottest neighborhoods Hamilton Heights. Conveniently located one block over
from the A, B, C and D line. Three blocks from Starbucks, New York Sports Club, Harlem
School of the Arts and countless restaurants"
14,2350000.00,"457 W 148th St, New York, NY 10031",-73.945184,40.82697,10031,0,1,4015,1901,8,5,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/457-W-148th-St-New-York-NY-10031/31553021_zpid/,"For sale: $2,350,000. Situated on a peaceful street in the beautiful, fashionable Hamilton Heights / Sugar Hill Historic District, this elegant Romanesque Revival townhouse is part of a matching row of four designed by John P. Leo in 1897 and built that year by Charlotte Beyer. Standing on a 100-foot lot, the building is 18-feet 6-inches wide and 45-feet deep across its four floors, with an additional 10-foot 7-inch by 14-foot 9-inch two floor extension and 341 square foot cellar, giving a total of 4,015 square feet of premium quality interior space, and the extension is topped by a terrace. The beautiful limestone exterior features molded sills, carved panels, Tuscan columns and carved architrave, stained-glass transoms above the first-story windows, and a pressed metal cornice with a decorative frieze. The interior of this wonderful property is currently under conversion from a one-family to a two-family home. All Department of Buildings and Landmarks approvals, plumbing and electrical services are installed throughout the building, which will encompass a Grand Triplex on the upper three floors, and a duplex apartment below with private back yard, for a total of eight (8) bedrooms and five (5) bathrooms. The interior retains the original outstanding quality mahogany woodwork, staircases and mirrors, mahogany and walnut fireplaces, pocket doors, parquet floors and internal stained-glass windows. A bullhead and staircase have recently been added to the third floor to take advantage of rooftop living, providing a third level of outdoor space for the owners to enjoy. 

This lovely home is located a few steps from fashionable Convent Avenue and the City College campus, and conveniently close to transportation options including the A/B/C/D and 1 subway lines and the M3, M5 and M100 bus lines. Shopping on Broadway is just a short walk away, and the area also features a vibrant caf, bar and restaurant and bar scene. 

This property is delivered vacant with all paperwork provided, and all Department of Buildings and Landmarks approvals are available upon request."
15,5850000.00,"470 W 143rd St, New York, NY 10031",-73.948304,40.823585,10031,0,1,5423,1926,4,5,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/470-W-143rd-St-New-York-NY-10031/245083830_zpid/,"For sale: $5,850,000. Hamilton Heights. Walking along these tree-lined streets, one never knows what beauty lies behind the doors of historic townhouses. But here, at 470, we will find a remarkable gem. A chic minimal home, rich in design and materials. Everything that you would expect in a modern smart house with a full gut renovation; a chef's kitchen, four large bedrooms, four beautifully tiled bathrooms with heated floors, soaking tubs and rain showers. A high end security system with cameras. 

Yet, it is what you would not expect that makes this home a masterpiece of fine modern living: a colonial mantle from 1741, exquisite fixtures from Italy, Finland and Amish America. Two grand slate fireplaces, one gas, one wood burning, the last approved wood burning fireplace in New York City. Hand laid marble mosaics along the walls tastefully blended with the masterful flooring of French wide plank oak. Thick mahogany doors lead into a large foyer adorned with antique glass and inlay marble. Discretely adjoining the foyer we have a spacious cloak room, a powder room and a mud room with a separate entrance. 

Stunning from the moment you enter, gracious and minimal combined. Modern living with the ability to entertain on a grand scale. A spacious entertainment room, two butler pantries, the all important English pub on the sixth floor which leads out to an outdoor double deck. The charming walled garden which offers a hot tub, an outdoor shower and a delightful fountain. Nearby parking facility and a trendy restaurant row. Everything you could ask for. Yes, you never know what lies behind these doors....but from the minute you step into 470, you are keenly aware that you have entered a very special house."
16,NaN,"520 W 134th St APT 1C, New York, NY 10031",-73.954468,40.818717,10031,NaN,NaN,--,1910,0,0,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/520-W-134th-St-APT-1C-New-York-NY-10031/89711697_zpid/,"For sale Investor opportunity! This property is being offered at Public Auction on 05-01-2019. Visit Auction.com now to view additional photos, Property Inspection Report with title information, plat maps and interior inspection reports when available. Auction.com is the nation's leading real estate transaction platform focused exclusively on the sale of residential foreclosure and bank-owned properties. The majority of these properties are priced below market value. Don't miss this special opportunity to buy homes at wholesale prices! In addition to this property, 95 other properties are scheduled for sale at this same Foreclosure Sale. In our online auctions and live Foreclosure Sales, Auction.com currently has 16 properties scheduled for sale in New York County and 1246 throughout New York. All properties and sale details can be found with a simple search at Auction.com. Create a FREE account today to find more properties like this one, save searches of properties that meet your investment criteria and have the properties you're looking for emailed directly to you when posted in an upcoming sale event. To view the complete details of this exact property, click the Auction.com link below or paste the Property ID 2682376 into the search bar at Auction.com"
17,549000.00,"100 Hamilton Pl APT 4G, New York, NY 10031",-73.950103,40.823501,10031,0,1,--,1900,3,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/100-Hamilton-Pl-APT-4G-New-York-NY-10031/2085857308_zpid/,"For sale: $549,000. BLANK CANVAS -- Bring your creativity and a contractor to this 3-Bedroom, 1-Bathroom co-op apartment in Historic Hamilton Heights. Delight in northern and eastern brightness all day long in the ""Kaaterskill North,"" a 7 story pre-war building located just north of the Columbia University campus and west of City College.



The entire apartment was recently painted and now ready for your finishing touches. The spacious, corner living room has 4 large, north-eastern facing windows. The empty (gutted) kitchen is ready for you to design and create your own eat-in galley, and you can include your own washer/dryer.



100 Hamilton Place, part of a 2-Bldg co-op ""94-102 Hamilton Place HDFC"", is a quiet, well maintained elevator building with solid financials. Income restricted at 165% AMI, household income caps: 1-$120K; 2-$137K; 3-$155K; 4-$172K; 5-$186K. Resident superintendent and pet friendly.



Hamilton Heights is a charming area of Harlem with brownstone-lined streets, stately low-rise apartment buildings, townhouses and a culturally rich history. Ideal for those who wish to find a quiet place without leaving the city behind. Hamilton Heights is home to renowned cultural institutions, beautiful parks, and the lovely Sugar Hill district. Many nearby restaurants, cafes, groceries and shopping on Broadway and Amsterdam, more opening all the time.



Alexander Hamilton Park & Playground across the street. Two blocks to Riverside Park & Denny Farrell Riverbank State Park with indoor olympic size pool, ball fields, track. Four blocks to 22 acre St. Nicholas Park with dog run, playgrounds, ball courts.



Transportation: #1 subway - B'Way/145th ; A, B, C, D subways - St. Nicholas/145th ; #4, 5 buses - Broadway/142nd ; #100,101 Lexington Avenue bus - Amsterdam/142nd"
18,389000.00,"525 W 138th St APT 2R, New York, NY 10031",-73.952102,40.821498,10031,0,1,--,1910,4,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/525-W-138th-St-APT-2R-New-York-NY-10031/2086236614_zpid/,"For sale: $389,000. Best Handyman deal in Manhattan!  Great 3 bedroom coop for sale for under 400K!  This amazing unit gets great light with high ceilings and has 4 separate bedrooms although one was opened up to make the master bedroom larger!  There is a spacious living room with dinning nook,  large eat-in-kitchen, large master bedroom that can fit a king size bed and furniture.   The other 3 rooms can fit a full size bed and dresser.  This unit is priced to sell asap, bring your contractors!  



Located just a 3 minute walk to the #1 train at 137th and Broadway, around the corner from City College, short walk to Columbia University campuses, short walk to Riverside Park.  



This is an HDFC coop unit with the following income restrictions:

One to two buyers cannot make over 75K and a family of 3 or larger cannot exceed 88K.  Cash preferred but the building should be able to get financing.  Must be primary residence, subletting allowed after 5 years of residence.  Maintenance is a $858 which includes heat, hot water and taxes.



Call Evelyn for an immediate appointment!"
19,325000.00,"3405 Broadway # 4D, New York, NY 10031",-73.953796,40.822299,10031,0,1,920,1910,3,1,Inwood and Washington Heights,https://www.zillow.com:443/homedetails/3405-Broadway-4D-New-York-NY-10031/2086590991_zpid/,"For sale: $325,000. Price Drop.  Motivated Seller.  Charming . Cozy Large 3 bedroom HDFC co-op apartment is a short distance away from o Riverside Park, Columbia University, and City College, 1 block from the #1 subway line and many bus lines on Broadway.



This bright, clean and spacious offer a full size kitchen and bath high ceilings.



In order to purchase this HDFC Co op, a board interview is required and  you must meet maximum household income guidelines as follows: Individual - $87,720, Family of two - $100,200, Family of three - $112,680, Family of four- $125,160, Family of five - $135,240, Family of six - $145,200, Family of seven - $155,280, Family of eight -





Schedule an appointment today with Lois Penny."
