,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
10,869900.00,"635 W 42nd St APT 8C, New York, NY 10036",-73.999647,40.761781,10036,0,1,696,2007,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-APT-8C-New-York-NY-10036/79978853_zpid/,"For sale: $869,900. Beautiful newly renovated 1 bedroom apartment in move in condition located in the highly coveted Atelier building! Unit includes modern kitchen with Sub Zero and Bosch appliances, open views, marble bathroom and hardwood floors. Modern green building, also has heath club and a Sky Lounge that has unbelievable views of Manhattan's West Side, the Hudson River and New Jersey waterfront"
11,1649000.00,"635 W 42nd St APT 30A, New York, NY 10036",-73.999224,40.761362,10036,0,1,800,2007,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-APT-30A-New-York-NY-10036/80010894_zpid/,"For sale: $1,649,000. If your looking for the Best Views in NYC, then this is it. The Premier One Bedroom Apartment in Atelier back on the market after almost 10 years. This is the top floor North East Corner 1 bedroom in the building offering Unobstructed Hudson River, Intrepid, City Skyline, New Jersey, and George Washington Bridge Views all from the Center of your living room. As if the floor to ceiling glass wasnt enough the 30th floor gets an addition 2 feet of window height! 11 Foot Windows from Both Living Room, Bedroom, and Kitchen Areas.

An added Perk, your windowed kitchen gets spectacular light as well as allowing for exhaust for all whom enjoy cooking!

The apartment features strip wood oak hardwood flooring, bianco verdi tiles in the bathrooms, toto bowl and vanity, white lacquer cabinetry covered by quartz stone counters. The apartment has been used as a pied-a-terre and is in mint condition.

This lovely buildings is a 5 minute walk to Times Squares Theater District and 24 hour living. IT also features a 24 hour doorman, Concierge, Valet Service, Wonderful Rooftop Terrace with Billiard Room and Lounge, Outdoor Basketball Court, Fitness Center, and In House Parking.

Call immediately for an appointment @ or email !"
12,NaN,NaN,-73.991299,40.757715,NaN,NaN,NaN,663,2007,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetails/350-W-42nd-St-APT-14C-New-York-NY-10036/79531898_zpid/,NaN
13,1065000.00,"635 W 42nd St APT 22C, New York, NY 10036",-73.999224,40.761362,10036,0,1,700,2007,1,1,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-APT-22C-New-York-NY-10036/244873116_zpid/,"For sale: $1,065,000. Amazing River Views!
Enjoy breathtaking views! This sun-filled home offers stunning river and city views from both living room and spacious bedroom which only add to its value. The large open kitchen has granite counter-tops and is complete with a Subzero refrigerator plus high-end stainless steel appliances, dishwasher and a microwave. The windowed bathroom is all white marble with a large soaking tub. Bosch washer and dryer is included, as well as hardwood floors and great closets throughout. Atelier is a full service condo building with amazing amenities: 24-hour doorman, concierge, valet services, valet-parking available at an additional cost, Tennis courts, state-of-the-art fitness center, yoga studio, residents' multi-media lounge, billiards room on the 47th floor, basketball court, terraces/sundeck, BBQ grills, playground and building-wide wireless Internet system. The neighborhood has it all: from the Hudson Yards extension and the Hudson River Parks, and so much more, to all the best that Midtown West has to offer!"
14,1900000.00,"635 W 42nd St APT 41A, New York, NY 10036",-73.999647,40.761781,10036,0,1,1050,2007,2,2,Chelsea and Clinton,https://www.zillow.com:443/homedetails/635-W-42nd-St-APT-41A-New-York-NY-10036/80003821_zpid/,"For sale: $1,900,000. This two bedroom, two bath home with south, north and west exposure gives you a bright apartment all day. With panoramic Hudson River views.  Feeling like you are living on top of world, this home inspires you everyday to working hard and enjoying life. The apartment has top of the line appliances and washer dryer in unit. You have an en suite bath in master bedroom. The kitchen has a large counter top for food service for you to entertain your guests.

 The building's amenities are endless. Concierge, tennis court, golf driving range, sauna, fitness center, yoga studio, basketball courts and garage. The building offers free breakfast while you wait for the cross town shuttle bus. The lobby is spacious with art pieces that would marvel a small museum.

The vibrant neighborhood allows you to enjoy coffee or a smoothie while jogging or bicycling alone the Hudson River. The restaurants are endless and reasonably priced for the discerning customer.

I invite you to preview this magnificent apartment.



OWNER SAYS BRING ALL OFFERS"
15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=250649663,NaN
16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=250649631,NaN
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=240000709,NaN
18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=154074844,NaN
19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=154074617,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=250617036,NaN
21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=247904325,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chelsea and Clinton,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=247401495,NaN
