Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode
Central Harlem,3.0,3.0,40.8008,-73.95850300000002,4636500.0,1814,2017,10026.0
Central Harlem,1.0,1.0,40.801998,-73.9505,769000.0,,2006,10026.0
Central Harlem,2.0,2.0,40.798,-73.94899699999998,1125000.0,1109,1989,10026.0
Central Harlem,1.0,1.0,40.800461,-73.952853,899000.0,910,2003,10026.0
Central Harlem,2.0,2.0,40.801099,-73.947102,1275000.0,1046,2014,10026.0
Central Harlem,1.0,1.0,40.798,-73.94899699999998,695000.0,696,1989,10026.0
Central Harlem,1.0,1.0,40.7985,-73.951698,815000.0,664,2019,10026.0
Central Harlem,1.0,1.0,40.801077,-73.94779399999999,700000.0,742,2006,10026.0
Central Harlem,1.0,1.0,40.803298,-73.957199,729000.0,709,,10026.0
Central Harlem,1.0,1.0,40.798,-73.94899699999998,750000.0,675,1989,10026.0
Central Harlem,1.0,2.0,40.808923,-73.95361199999998,325000.0,46752,1912,10027.0
Central Harlem,3.0,8.0,40.805801,-73.949302,2200000.0,4500,1920,10027.0
Central Harlem,3.0,6.0,40.80516,-73.94976899999997,3995000.0,4300,1920,10027.0
Central Harlem,1.0,3.0,40.8083,-73.956001,599950.0,,1987,10027.0
Central Harlem,4.0,4.0,40.806326,-73.947459,2424000.0,3952,1899,10027.0
Central Harlem,4.0,7.0,40.805642,-73.948964,2800000.0,5800,1920,10027.0
Central Harlem,4.0,6.0,40.805167,-73.945886,4200000.0,6000,1899,10027.0
Central Harlem,1.0,2.0,40.8184,-73.9546,476000.0,650,1905,10027.0
Central Harlem,6.0,5.0,40.80937700000001,-73.95469,2750000.0,3840,1899,10027.0
Central Harlem,1.0,2.0,40.81103,-73.958377,579000.0,,1901,10027.0
Central Harlem,0.0,5.0,40.812198,-73.944099,949000.0,,No,10027.0
Central Harlem,1.0,2.0,40.810039,-73.95853100000002,650000.0,725,1920,10027.0
Central Harlem,1.0,3.0,40.81342100000001,-73.960461,880000.0,,1940,10027.0
Central Harlem,2.0,2.0,40.808911,-73.96523,1450000.0,,1910,10027.0
Central Harlem,5.0,5.0,40.805049,-73.946377,4675000.0,4540,1909,10027.0
Central Harlem,1.0,1.0,40.816331,-73.960074,445000.0,600,1910,10027.0
Central Harlem,2.0,2.0,40.808267,-73.951287,950000.0,1023,1910,10027.0
Central Harlem,2.0,3.0,40.815101,-73.953498,1360000.0,1248,2018,10027.0
Central Harlem,5.0,17.0,40.804698,-73.945899,3300000.0,5500,1909,10027.0
Central Harlem,11.0,6.0,40.80692,-73.951992,4375000.0,4590,1910,10027.0
Central Harlem,3.0,4.0,40.807448,-73.950118,3250000.0,2340,2005,10027.0
Central Harlem,6.0,6.0,40.809299,-73.946502,3295000.0,5100,1910,10027.0
Central Harlem,1.0,2.0,40.813881,-73.96066,699999.0,,1926,10027.0
Central Harlem,1.5,2.0,40.807201,-73.953598,769000.0,861,2003,10027.0
Central Harlem,4.0,5.0,40.811381,-73.945577,3495000.0,3280,2000,10027.0
Central Harlem,4.0,6.0,40.805091,-73.94960400000002,2950000.0,4500,1899,10027.0
Central Harlem,2.0,2.0,40.804298,-73.946536,1400000.0,1200,1909,10027.0
Central Harlem,2.0,2.0,40.8069,-73.954696,999000.0,925,2006,10027.0
Central Harlem,5.0,8.0,40.806452,-73.948945,3500000.0,5507,1910,10027.0
Central Harlem,1.0,1.0,40.81103,-73.958377,395000.0,,1901,10027.0
Central Harlem,5.0,4.0,40.813701,-73.946502,2199000.0,3183,1910,10027.0
Central Harlem,2.0,2.0,40.813899,-73.946601,1795000.0,,1910,10027.0
Central Harlem,1.0,1.0,40.81251500000001,-73.958696,489000.0,700,1956,10027.0
Central Harlem,2.0,3.0,40.807423,-73.953588,1198000.0,1116,2003,10027.0
Central Harlem,4.0,4.0,40.814074,-73.947323,2350000.0,3340,1910,10027.0
