,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
10,NaN,NaN,-73.926539,40.771958,NaN,NaN,NaN,NaN,No,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetails/2716-21st-St-Astoria-NY-11102/2088019327_zpid/,NaN
11,935000.00,"2633 28th St # 3A, Astoria, NY 11102",-73.921401,40.769901,11102,0,1,871,1955,1,1,Long Island City,https://www.zillow.com:443/homedetails/2633-28th-St-3A-Astoria-NY-11102/2087065401_zpid/,"For sale: $935,000. 871 square feet plus 11'6"" x 5' Balcony. Sleek and Modern, the units in this newly constructed building have unparalleled attention to detail within the solidly crafted construction. With sophisticated amenities and style, the expansive apartments feature 10 to 11 ft ceilings, stunning 7"" wide hardwood plank flooring, high efficiency recessed lighting, European 8' tilt and turn windows and 9 ' European lift and sliding doors, all interior doors, imported from Italy, are 8 feet. Sumptuous bathroom with dual entry, Calacatta porcelain floor to ceiling tiling, soaking tub, separate luxurious shower with matching hardware from Spain and radiant floor heating. Stunning kitchens with high end Blomberg appliances including chefs convection oven, whisper quiet dishwasher and true exhaust as well as full quartz counter-tops and glass tile backsplash, Italian contrasting cabinetry and German hardware add to the exquisite contemporary flair. Special details include electrical ductless split system for heating and cooling with remote control - in unit laundry and extra closet space make these units extraordinary in design. The many building amenities include camera security system, energy efficient mechanicals and construction materials, full building fire sprinkler system with central station fire alarm. Stunning roof deck with porcelain tiled pavers and 360-degree vistas with NYC skyline. Close to all one could need with NYC transit a mere few blocks away, this building is the ultimate in 21st century urban living."
12,569000.00,"2633 28th St # 1A, Astoria, NY 11102",-73.921401,40.769901,11102,0,1,502,1955,0,1,Long Island City,https://www.zillow.com:443/homedetails/2633-28th-St-1A-Astoria-NY-11102/2087071078_zpid/,"For sale: $569,000. 502 Sq Ft Alcove Studio Loft - Sleek And Modern, The Units In This Newly Constructed Building Have Unparalleled Attention To Detail Within The Solidly Crafted Construction. With Sophisticated Amenities And Style, The Expansive Apartments Feature 11 Ft Ceilings, Stunning 7"" Wide Hardwood Plank Flooring, High Efficiency Recessed Lighting, European 8' Tilt And Turn Windows . Sumptuous Bathrooms And Stunning Kitchens With High End Appliances, Glass Tile Backsplash & Imported Cabinetry"
13,6750000.00,"27-28/30 21 St, Astoria, NY 11102",-73.9246,40.7718,11102,0,1,NaN,No,0,0,Long Island City,https://www.zillow.com:443/homedetails/27-28-30-21-St-Astoria-NY-11102/2088019506_zpid/,"For sale: $6,750,000. Prime Development Property In Astoria. 50X100 R7X C2-3 Zoning 25,000 Sf As Of Right. Commercial And Residential"
14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=247904388,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=247904389,NaN
16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=249417122,NaN
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=154075330,NaN
18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=241546291,NaN
19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=243157122,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=250454150,NaN
21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=250649801,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=245352760,NaN
23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=294985139,NaN
24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=294984794,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=289312306,NaN
26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=289312307,NaN
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=154075188,NaN
28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=294988748,NaN
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=250552944,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=294924265,NaN
31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=249614279,NaN
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Long Island City,https://www.zillow.com:443/homedetail/AuthRequired.htm?r=pfc&zpid=154075196,NaN
