bath,bed,latitude,logitude,price,size,year built,distance to subway,crime
3,2,40.767892,-73.966725,2999999,223000,1962,0.199763137,1606
3,3,40.765598,-73.965202,5500000,1853,2013,0.129319751,1606
2,2,40.763209,-73.966998,1300000,1450,1960,0.062627636,1606
2,2,40.761621,-73.957998,1100000,304510,1958,0.476556493,1606
2,3,40.765401,-73.968536,2700000,1800,1916,0.179731061,1606
3,2,40.76514,-73.966742,2095000,60748,1923,0.034336804,1606
1,1,40.764462,-73.959311,699000,835,1964,0.533313214,1606
6,9,40.763999,-73.960197,5200000,4480,1931,0.519387791,1606
7,5,40.764499,-73.964797,13995000,3772,1987,0.142411267,1606
1,1,40.765243,-73.969881,1490000,900,1958,0.208203988,1606
2,2,40.76629,-73.966758,1585000,181000,1955,0.157684756,1606
3,2,40.768214,-73.968366,3050000,1700,1941,0.340656943,1606
5,5,40.7639,-73.961502,8995000,4000,1987,0.414465878,1606
5,5,40.7644,-73.9682,9150000,4250,1913,0.143309014,1606
2,2,40.762363,-73.963031,1699000,1225,1986,0.243444683,1606
1,1,40.762387,-73.95923,625000,455403,1956,0.563466416,1606
6,5,40.7653,-73.970596,11750000,4060,1951,0.152495028,1606
1,2,40.768059,-73.967076,1495000,973,1941,0.230722655,1606
2,2,40.764253,-73.960657,1370000,1250,1962,0.474802169,1606
3,2,40.764283,-73.958128,2795000,1549,2005,0.622434574,1606
3,2,40.76329,-73.966446,1995000,312646,1983,0.10614954,1606
2,2,40.766112,-73.970217,1995000,1200,1920,0.219772252,1606
1,0,40.763435,-73.958209,575000,500,1959,0.631195688,1606
3,3,40.769471,-73.968718,5500000,306573,1950,0.410884542,1606
4,3,40.768058,-73.965522,4500000,2800,1924,0.101866558,1606
3,2,40.764499,-73.964841,3150000,1380,1987,0.138878709,1606
3,2,40.76478,-73.967963,2995000,2025,1910,0.119013535,1606
3,2,40.767892,-73.966725,2400000,223000,1962,0.199763137,1606
2,2,40.769471,-73.968718,3795000,306573,1950,0.410884542,1606
1,1,40.763412,-73.95897,799000,900,1962,0.599143961,1606
2,3,40.76462,-73.966751,2399000,1650,1960,0.020174502,1606
5,4,40.764012,-73.969194,7800000,2755,1941,0.160711094,1606
2,2,40.762631,-73.960347,2275000,1476,1965,0.471057718,1606
4,3,40.765679,-73.963965,6995000,2410,2000,0.224295618,1606
